,id,dishes_name,price,cost,recommend_percent,rate
0,610071,42度海之蓝,99,50.0,0.76,0.49
1,609947,北冰洋汽水,5,2.0,,0.6
2,610068,38度剑南春,80,30.0,0.9,0.62
3,610069,50度古井贡酒,90,20.0,0.86,0.78
4,610070,52度泸州老窖,159,85.0,0.85,0.47
5,610072,53度茅台,128,65.0,0.88,0.49
6,610011,白饭/大碗,10,5.0,0.83,0.5
7,610010,白饭/小碗,1,0.5,0.83,0.5
8,609960,白胡椒胡萝卜羊肉汤,35,18.0,0.8,0.49
9,610019,白斩鸡,88,54.0,0.85,0.39
10,609993,百里香奶油烤红酒牛肉,178,70.0,0.81,0.61
11,609988,百威啤酒罐装,6,3.0,0.83,0.5
12,610048,拌土豆丝,25,9.0,0.87,0.64
13,610057,宝宝版牛肉肠粉,15,10.0,0.85,0.33
14,610021,爆炒鸡翅,56,31.0,0.91,0.45
15,609978,爆炒鳝碌,55,20.0,0.78,0.64
16,610049,爆炒双丝,35,15.0,0.88,0.57
17,609932,爆炒猪肝,68,32.0,0.87,0.53
18,609964,避风塘炒蟹,48,29.0,0.8,0.4
19,609937,冰糖红豆薏米粥,15,9.0,0.89,0.4
20,610067,冰镇花螺,35,15.0,0.82,0.57
21,610054,不加一滴油的酸奶蛋糕,7,4.0,0.83,0.43
22,610058,超人气广式肠粉,18,10.0,0.89,0.44
23,609965,葱姜炒蟹,109,80.0,0.8,0.27
24,610015,葱油凉拌藕片,30,10.0,0.81,0.67
25,609997,打卤面,26,10.0,0.8,0.62
26,609971,大理石奶油蛋糕,13,8.0,0.85,0.38
27,609950,大蒜苋菜,30,18.0,0.75,0.4
28,610053,蛋挞,8,4.0,0.87,0.5
29,609995,党参黄芪炖牛尾,35,20.0,0.85,0.43
30,609962,倒立蒸梭子蟹,169,119.0,0.85,0.3
31,610045,冬瓜炒苦瓜,29,10.0,0.75,0.66
32,609994,独家薄荷鲜虾牛肉卷,45,30.0,0.86,0.33
33,609943,剁椒鱼头,55,28.0,0.85,0.49
