,support,confidence,lhs,rhs,sale,recommendation,profit,mark
997,0.013000000000000001,0.6,"['蒙古烤羊腿', '香辣爆羊肝']",西瓜胡萝卜沙拉,0.42,0.88,0.69,7.159
2097,0.011000000000000001,0.7140000000000001,"['爆炒双丝', '蛋挞']",西瓜胡萝卜沙拉,0.42,0.88,0.69,7.159
504,0.016,0.625,"['蛋挞', '香烤牛排']",西瓜胡萝卜沙拉,0.42,0.88,0.69,7.159
1977,0.011000000000000001,0.625,"['蛋挞', '香酥两吃大虾']",西瓜胡萝卜沙拉,0.42,0.88,0.69,7.159
1978,0.011000000000000001,0.625,"['爆炒双丝', '香烤牛排']",西瓜胡萝卜沙拉,0.42,0.88,0.69,7.159
1044,0.013000000000000001,0.522,"['芝麻烤紫菜', '蒙古烤羊腿']",西瓜胡萝卜沙拉,0.42,0.88,0.69,7.159
1539,0.011000000000000001,0.556,"['拌土豆丝', '香烤牛排']",西瓜胡萝卜沙拉,0.42,0.88,0.69,7.159
432,0.017,0.64,"['五色糯米饭(七色)', '蛋挞']",西瓜胡萝卜沙拉,0.42,0.88,0.69,7.159
2098,0.011000000000000001,0.7140000000000001,"['五色糯米饭(七色)', '芝麻烤紫菜']",西瓜胡萝卜沙拉,0.42,0.88,0.69,7.159
1707,0.011000000000000001,0.526,"['番茄有机花菜', '糖醋蕃茄溜青花']",凉拌蒜蓉西兰花,0.36,0.8,0.69,7.117
43,0.033,0.508,"['焖猪手', '芹菜炒腰花']",爆炒猪肝,0.37,0.87,0.53,6.917
52,0.032,0.526,"['自制猪肉脯', '芹菜炒腰花']",爆炒猪肝,0.37,0.87,0.53,6.916
100,0.027999999999999997,0.578,"['焖猪手', '自制猪肉脯', '芹菜炒腰花']",爆炒猪肝,0.37,0.87,0.53,6.91
139,0.025,0.575,"['凉拌菠菜', '焖猪手', '芹菜炒腰花']",爆炒猪肝,0.37,0.87,0.53,6.906
163,0.024,0.537,"['凉拌菠菜', '自制猪肉脯', '芹菜炒腰花']",爆炒猪肝,0.37,0.87,0.53,6.905
222,0.021,0.526,"['凉拌菠菜', '焖猪手', '自制猪肉脯']",爆炒猪肝,0.37,0.87,0.53,6.901
261,0.02,0.514,"['剁椒鱼头', '自制猪肉脯']",爆炒猪肝,0.37,0.87,0.53,6.9
266,0.02,0.594,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '芹菜炒腰花']",爆炒猪肝,0.37,0.87,0.53,6.9
277,0.019,0.545,"['焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",爆炒猪肝,0.37,0.87,0.53,6.899
286,0.019,0.514,"['剁椒鱼头', '芹菜炒腰花']",爆炒猪肝,0.37,0.87,0.53,6.899
