rule,support,confidence
蒙古烤羊腿---凉拌菠菜,0.083,0.51
芹菜炒腰花---凉拌菠菜,0.07,0.58
芹菜炒腰花---焖猪手,0.065,0.545
芹菜炒腰花---自制猪肉脯,0.061,0.509
焖猪手---芹菜炒腰花---自制猪肉脯,0.048,0.738
焖猪手---自制猪肉脯---芹菜炒腰花,0.048,0.714
自制猪肉脯---芹菜炒腰花---焖猪手,0.048,0.789
蒙古烤羊腿---辣炒鱿鱼---凉拌菠菜,0.047,0.759
凉拌菠菜---蒙古烤羊腿---辣炒鱿鱼,0.047,0.571
凉拌菠菜---自制猪肉脯---芹菜炒腰花,0.044,0.651
凉拌菠菜---芹菜炒腰花---自制猪肉脯,0.044,0.631
自制猪肉脯---芹菜炒腰花---凉拌菠菜,0.044,0.719
焖猪手---辣炒鱿鱼---凉拌菠菜,0.043,0.714
焖猪手---芹菜炒腰花---凉拌菠菜,0.043,0.656
凉拌菠菜---芹菜炒腰花---焖猪手,0.043,0.615
自制猪肉脯---辣炒鱿鱼---凉拌菠菜,0.041,0.691
芹菜炒腰花---辣炒鱿鱼---凉拌菠菜,0.041,0.776
凉拌菠菜---芹菜炒腰花---辣炒鱿鱼,0.041,0.585
凉拌菠菜---自制猪肉脯---辣炒鱿鱼,0.041,0.603
凉拌菠菜---自制猪肉脯---焖猪手,0.041,0.603
焖猪手---自制猪肉脯---凉拌菠菜,0.041,0.603
自制猪肉脯---芹菜炒腰花---辣炒鱿鱼,0.036,0.596
自制猪肉脯---辣炒鱿鱼---焖猪手,0.036,0.618
自制猪肉脯---辣炒鱿鱼---芹菜炒腰花,0.036,0.618
焖猪手---自制猪肉脯---辣炒鱿鱼,0.036,0.54
芹菜炒腰花---辣炒鱿鱼---自制猪肉脯,0.036,0.694
焖猪手---辣炒鱿鱼---自制猪肉脯,0.036,0.607
辣炒鱿鱼---麻辣小龙虾---凉拌菠菜,0.036,0.694
焖猪手---辣炒鱿鱼---芹菜炒腰花,0.035,0.589
自制猪肉脯---谷稻小庄---焖猪手,0.035,0.55
芹菜炒腰花---辣炒鱿鱼---焖猪手,0.035,0.673
焖猪手---芹菜炒腰花---辣炒鱿鱼,0.035,0.541
焖猪手---自制猪肉脯---谷稻小庄,0.035,0.524
焖猪手---谷稻小庄---自制猪肉脯,0.035,0.611
凉拌菠菜---自制猪肉脯---芹菜炒腰花---焖猪手,0.034,0.78
凉拌菠菜---剁椒鱼头---辣炒鱿鱼,0.034,0.533
焖猪手---蒙古烤羊腿---凉拌菠菜,0.034,0.821
凉拌菠菜---焖猪手---芹菜炒腰花---自制猪肉脯,0.034,0.8
剁椒鱼头---辣炒鱿鱼---凉拌菠菜,0.034,0.681
凉拌菠菜---焖猪手---自制猪肉脯---芹菜炒腰花,0.034,0.842
焖猪手---自制猪肉脯---芹菜炒腰花---凉拌菠菜,0.034,0.711
焖猪手---爆炒猪肝---芹菜炒腰花,0.033,0.66
爆炒猪肝---芹菜炒腰花---焖猪手,0.033,0.775
焖猪手---芹菜炒腰花---爆炒猪肝,0.033,0.508
焖猪手---豌豆薯仔猪骨汤---凉拌菠菜,0.032,0.638
凉拌菠菜---爆炒猪肝---芹菜炒腰花,0.032,0.536
凉拌菠菜---豌豆薯仔猪骨汤---焖猪手,0.032,0.652
自制猪肉脯---芹菜炒腰花---谷稻小庄,0.032,0.526
爆炒猪肝---芹菜炒腰花---自制猪肉脯,0.032,0.75
剁椒鱼头---蒙古烤羊腿---凉拌菠菜,0.032,0.789
爆炒猪肝---自制猪肉脯---芹菜炒腰花,0.032,0.75
孜然羊排---蒙古烤羊腿---凉拌菠菜,0.032,0.652
自制猪肉脯---芹菜炒腰花---爆炒猪肝,0.032,0.526
芹菜炒腰花---谷稻小庄---自制猪肉脯,0.032,0.698
凉拌菠菜---孜然羊排---蒙古烤羊腿,0.032,0.536
蒙古烤羊腿---麻辣小龙虾---凉拌菠菜,0.032,0.638
爆炒猪肝---芹菜炒腰花---凉拌菠菜,0.032,0.75
焖猪手---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼,0.031,0.644
剁椒鱼头---焖猪手---凉拌菠菜,0.031,0.659
焖猪手---蒙古烤羊腿---辣炒鱿鱼,0.031,0.744
焖猪手---爆炒猪肝---自制猪肉脯,0.031,0.617
焖猪手---辣炒鱿鱼---蒙古烤羊腿,0.031,0.518
焖猪手---自制猪肉脯---辣炒鱿鱼---芹菜炒腰花,0.031,0.853
焖猪手---芹菜炒腰花---辣炒鱿鱼---自制猪肉脯,0.031,0.879
爆炒猪肝---自制猪肉脯---焖猪手,0.031,0.725
焖猪手---谷稻小庄---凉拌菠菜,0.031,0.537
自制猪肉脯---芹菜炒腰花---辣炒鱿鱼---焖猪手,0.031,0.853
凉拌菠菜---芹菜炒腰花---辣炒鱿鱼---自制猪肉脯,0.03,0.737
凉拌菠菜---芹菜炒腰花---辣炒鱿鱼---焖猪手,0.03,0.737
自制猪肉脯---芹菜炒腰花---辣炒鱿鱼---凉拌菠菜,0.03,0.824
凉拌菠菜---自制猪肉脯---辣炒鱿鱼---芹菜炒腰花,0.03,0.737
自制猪肉脯---辣炒鱿鱼---谷稻小庄,0.03,0.509
水煮鱼---谷稻小庄---辣炒鱿鱼,0.03,0.56
焖猪手---芹菜炒腰花---辣炒鱿鱼---凉拌菠菜,0.03,0.848
凉拌菠菜---焖猪手---辣炒鱿鱼---芹菜炒腰花,0.03,0.7
凉拌菠菜---自制猪肉脯---芹菜炒腰花---辣炒鱿鱼,0.03,0.683
凉拌菠菜---焖猪手---芹菜炒腰花---辣炒鱿鱼,0.03,0.7
焖猪手---爆炒猪肝---凉拌菠菜,0.03,0.596
剁椒鱼头---焖猪手---芹菜炒腰花,0.029,0.614
凉拌菠菜---豌豆薯仔猪骨汤---辣炒鱿鱼,0.029,0.587
剁椒鱼头---芹菜炒腰花---焖猪手,0.029,0.771
豌豆薯仔猪骨汤---辣炒鱿鱼---凉拌菠菜,0.029,0.794
爆炒猪肝---自制猪肉脯---凉拌菠菜,0.029,0.675
剁椒鱼头---辣炒鱿鱼---蒙古烤羊腿,0.029,0.574
蒙古烤羊腿---谷稻小庄---凉拌菠菜,0.029,0.551
焖猪手---香酥两吃大虾---凉拌菠菜,0.029,0.551
辣炒鱿鱼---麻辣小龙虾---蒙古烤羊腿,0.029,0.551
剁椒鱼头---蒙古烤羊腿---辣炒鱿鱼,0.029,0.711
蒙古烤羊腿---麻辣小龙虾---辣炒鱿鱼,0.029,0.574
凉拌菠菜---焖猪手---辣炒鱿鱼---自制猪肉脯,0.028,0.65
爆炒猪肝---自制猪肉脯---芹菜炒腰花---焖猪手,0.028,0.867
焖猪手---爆炒猪肝---自制猪肉脯---芹菜炒腰花,0.028,0.897
芹菜炒腰花---谷稻小庄---凉拌菠菜,0.028,0.605
凉拌菠菜---自制猪肉脯---辣炒鱿鱼---焖猪手,0.028,0.684
凉拌菠菜---焖猪手---自制猪肉脯---辣炒鱿鱼,0.028,0.684
剁椒鱼头---自制猪肉脯---凉拌菠菜,0.028,0.703
焖猪手---自制猪肉脯---辣炒鱿鱼---凉拌菠菜,0.028,0.765
焖猪手---爆炒猪肝---芹菜炒腰花---自制猪肉脯,0.028,0.839
剁椒鱼头---芹菜炒腰花---凉拌菠菜,0.028,0.743
辣炒鱿鱼---香酥两吃大虾---凉拌菠菜,0.028,0.65
焖猪手---自制猪肉脯---芹菜炒腰花---爆炒猪肝,0.028,0.578
芹菜炒腰花---谷稻小庄---焖猪手,0.028,0.605
爆炒猪肝---辣炒鱿鱼---凉拌菠菜,0.027,0.658
芹菜炒腰花---蒙古烤羊腿---凉拌菠菜,0.027,0.806
