,lhs,rhs,support,confidence,sale,recommendation,profit,mark
5,"['焖猪手', '自制猪肉脯']",芹菜炒腰花,0.048,0.7140000000000001,0.35,0.85,0.5,6.854
9,"['凉拌菠菜', '自制猪肉脯']",芹菜炒腰花,0.044000000000000004,0.6509999999999999,0.35,0.85,0.5,6.847
23,"['自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.036000000000000004,0.618,0.35,0.85,0.5,6.833
28,"['焖猪手', '辣炒鱿鱼']",芹菜炒腰花,0.035,0.589,0.35,0.85,0.5,6.832
39,"['凉拌菠菜', '焖猪手', '自制猪肉脯']",芹菜炒腰花,0.034,0.8420000000000001,0.35,0.85,0.5,6.83
41,"['焖猪手', '爆炒猪肝']",芹菜炒腰花,0.033,0.66,0.35,0.85,0.5,6.828
50,"['爆炒猪肝', '自制猪肉脯']",芹菜炒腰花,0.032,0.75,0.35,0.85,0.5,6.826
45,"['凉拌菠菜', '爆炒猪肝']",芹菜炒腰花,0.032,0.536,0.35,0.85,0.5,6.826
62,"['焖猪手', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.031,0.853,0.35,0.85,0.5,6.825
74,"['凉拌菠菜', '焖猪手', '辣炒鱿鱼']",芹菜炒腰花,0.03,0.7,0.35,0.85,0.5,6.823
70,"['凉拌菠菜', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.03,0.737,0.35,0.85,0.5,6.823
78,"['剁椒鱼头', '焖猪手']",芹菜炒腰花,0.028999999999999998,0.614,0.35,0.85,0.5,6.821
91,"['焖猪手', '爆炒猪肝', '自制猪肉脯']",芹菜炒腰花,0.027999999999999997,0.897,0.35,0.85,0.5,6.82
108,"['焖猪手', '自制猪肉脯', '谷稻小庄']",芹菜炒腰花,0.027000000000000003,0.758,0.35,0.85,0.5,6.818
125,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.026000000000000002,0.9229999999999999,0.35,0.85,0.5,6.816
116,"['剁椒鱼头', '自制猪肉脯']",芹菜炒腰花,0.026000000000000002,0.649,0.35,0.85,0.5,6.816
145,"['凉拌菠菜', '焖猪手', '爆炒猪肝']",芹菜炒腰花,0.025,0.821,0.35,0.85,0.5,6.814
167,"['凉拌菠菜', '爆炒猪肝', '自制猪肉脯']",芹菜炒腰花,0.024,0.815,0.35,0.85,0.5,6.813
160,"['爆炒猪肝', '辣炒鱿鱼']",芹菜炒腰花,0.024,0.579,0.35,0.85,0.5,6.813
170,"['凉拌菠菜', '自制猪肉脯', '谷稻小庄']",芹菜炒腰花,0.023,0.75,0.35,0.85,0.5,6.811
190,"['自制猪肉脯', '谷稻小庄', '辣炒鱿鱼']",芹菜炒腰花,0.021,0.7140000000000001,0.35,0.85,0.5,6.807
192,"['剁椒鱼头', '焖猪手', '自制猪肉脯']",芹菜炒腰花,0.021,0.9520000000000001,0.35,0.85,0.5,6.807
223,"['爆炒猪肝', '谷稻小庄']",芹菜炒腰花,0.021,0.526,0.35,0.85,0.5,6.807
194,"['自制猪肉脯', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.021,0.625,0.35,0.85,0.5,6.807
207,"['自制猪肉脯', '芝士烩波士顿龙虾']",芹菜炒腰花,0.021,0.556,0.35,0.85,0.5,6.807
218,"['凉拌菠菜', '剁椒鱼头', '自制猪肉脯']",芹菜炒腰花,0.021,0.769,0.35,0.85,0.5,6.807
237,"['凉拌菠菜', '焖猪手', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.02,0.633,0.35,0.85,0.5,6.806
235,"['凉拌菠菜', '剁椒鱼头', '焖猪手']",芹菜炒腰花,0.02,0.655,0.35,0.85,0.5,6.806
238,"['凉拌菠菜', '焖猪手', '谷稻小庄']",芹菜炒腰花,0.02,0.655,0.35,0.85,0.5,6.806
244,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '自制猪肉脯']",芹菜炒腰花,0.02,0.95,0.35,0.85,0.5,6.806
284,"['美妙绝伦之白莲花', '自制猪肉脯']",芹菜炒腰花,0.019,0.529,0.35,0.85,0.5,6.804
321,"['焖猪手', '爆炒猪肝', '辣炒鱿鱼']",芹菜炒腰花,0.019,0.9,0.35,0.85,0.5,6.804
291,"['焖猪手', '自制猪肉脯', '芝士烩波士顿龙虾']",芹菜炒腰花,0.019,0.72,0.35,0.85,0.5,6.804
314,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '谷稻小庄']",芹菜炒腰花,0.019,0.818,0.35,0.85,0.5,6.804
311,"['剁椒鱼头', '爆炒猪肝']",芹菜炒腰花,0.019,0.6,0.35,0.85,0.5,6.804
292,"['剁椒鱼头', '焖猪手', '辣炒鱿鱼']",芹菜炒腰花,0.019,0.72,0.35,0.85,0.5,6.804
295,"['焖猪手', '自制猪肉脯', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.019,0.75,0.35,0.85,0.5,6.804
317,"['爆炒猪肝', '自制猪肉脯', '谷稻小庄']",芹菜炒腰花,0.019,1.0,0.35,0.85,0.5,6.804
326,"['自制猪肉脯', '蒙古烤羊腿']",芹菜炒腰花,0.018000000000000002,0.531,0.35,0.85,0.5,6.802
323,"['凉拌菠菜', '剁椒鱼头', '辣炒鱿鱼']",芹菜炒腰花,0.018000000000000002,0.531,0.35,0.85,0.5,6.802
329,"['焖猪手', '谷稻小庄', '辣炒鱿鱼']",芹菜炒腰花,0.018000000000000002,0.654,0.35,0.85,0.5,6.802
366,"['爆炒猪肝', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.018000000000000002,0.773,0.35,0.85,0.5,6.802
395,"['焖猪手', '美妙绝伦之白莲花']",芹菜炒腰花,0.018000000000000002,0.515,0.35,0.85,0.5,6.802
357,"['焖猪手', '蒙古烤羊腿', '辣炒鱿鱼']",芹菜炒腰花,0.018000000000000002,0.586,0.35,0.85,0.5,6.802
392,"['焖猪手', '自制猪肉脯', '谷稻小庄', '辣炒鱿鱼']",芹菜炒腰花,0.018000000000000002,0.895,0.35,0.85,0.5,6.802
385,"['凉拌菠菜', '爆炒猪肝', '辣炒鱿鱼']",芹菜炒腰花,0.018000000000000002,0.68,0.35,0.85,0.5,6.802
459,"['剁椒鱼头', '焖猪手', '爆炒猪肝']",芹菜炒腰花,0.017,0.889,0.35,0.85,0.5,6.801
502,"['剁椒鱼头', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.017,0.696,0.35,0.85,0.5,6.801
418,"['焖猪手', '爆炒猪肝', '谷稻小庄']",芹菜炒腰花,0.017,0.8420000000000001,0.35,0.85,0.5,6.801
425,"['凉拌菠菜', '美妙绝伦之白莲花', '自制猪肉脯']",芹菜炒腰花,0.017,0.8,0.35,0.85,0.5,6.801
427,"['焖猪手', '自制猪肉脯', '蒙古烤羊腿']",芹菜炒腰花,0.017,0.8,0.35,0.85,0.5,6.801
437,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '自制猪肉脯']",芹菜炒腰花,0.017,0.941,0.35,0.85,0.5,6.801
439,"['焖猪手', '爆炒猪肝', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.017,0.941,0.35,0.85,0.5,6.801
434,"['焖猪手', '爆炒猪肝', '自制猪肉脯', '谷稻小庄']",芹菜炒腰花,0.017,1.0,0.35,0.85,0.5,6.801
449,"['焖猪手', '自制猪肉脯', '蒙古烤羊腿', '辣炒鱿鱼']",芹菜炒腰花,0.017,0.941,0.35,0.85,0.5,6.801
491,"['焖猪手', '自制猪肉脯', '香酥两吃大虾']",芹菜炒腰花,0.017,0.727,0.35,0.85,0.5,6.801
466,"['凉拌菠菜', '自制猪肉脯', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.017,0.889,0.35,0.85,0.5,6.801
465,"['自制猪肉脯', '蒙古烤羊腿', '辣炒鱿鱼']",芹菜炒腰花,0.017,0.696,0.35,0.85,0.5,6.801
506,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.016,0.882,0.35,0.85,0.5,6.799
592,"['凉拌菠菜', '焖猪手', '香酥两吃大虾']",芹菜炒腰花,0.016,0.556,0.35,0.85,0.5,6.799
519,"['凉拌菠菜', '自制猪肉脯', '谷稻小庄', '辣炒鱿鱼']",芹菜炒腰花,0.016,0.833,0.35,0.85,0.5,6.799
523,"['剁椒鱼头', '爆炒猪肝', '自制猪肉脯']",芹菜炒腰花,0.016,0.789,0.35,0.85,0.5,6.799
556,"['凉拌菠菜', '焖猪手', '蒙古烤羊腿', '辣炒鱿鱼']",芹菜炒腰花,0.016,0.6,0.35,0.85,0.5,6.799
560,"['凉拌菠菜', '自制猪肉脯', '蒙古烤羊腿']",芹菜炒腰花,0.016,0.652,0.35,0.85,0.5,6.799
565,"['孜然羊排', '自制猪肉脯']",芹菜炒腰花,0.016,0.652,0.35,0.85,0.5,6.799
571,"['剁椒鱼头', '焖猪手', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.016,1.0,0.35,0.85,0.5,6.799
587,"['凉拌菠菜', '剁椒鱼头', '爆炒猪肝']",芹菜炒腰花,0.016,0.682,0.35,0.85,0.5,6.799
527,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '辣炒鱿鱼']",芹菜炒腰花,0.016,0.789,0.35,0.85,0.5,6.799
634,"['凉拌菠菜', '爆炒猪肝', '谷稻小庄']",芹菜炒腰花,0.015,0.667,0.35,0.85,0.5,6.797
670,"['凉拌菠菜', '焖猪手', '芝士烩波士顿龙虾']",芹菜炒腰花,0.015,0.609,0.35,0.85,0.5,6.797
743,"['剁椒鱼头', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.015,0.583,0.35,0.85,0.5,6.797
650,"['焖猪手', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",芹菜炒腰花,0.015,0.636,0.35,0.85,0.5,6.797
652,"['焖猪手', '美妙绝伦之白莲花', '自制猪肉脯']",芹菜炒腰花,0.015,0.7,0.35,0.85,0.5,6.797
623,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '蒙古烤羊腿', '辣炒鱿鱼']",芹菜炒腰花,0.015,0.9329999999999999,0.35,0.85,0.5,6.797
637,"['剁椒鱼头', '焖猪手', '爆炒猪肝', '自制猪肉脯']",芹菜炒腰花,0.015,0.9329999999999999,0.35,0.85,0.5,6.797
654,"['凉拌菠菜', '剁椒鱼头', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.015,0.7,0.35,0.85,0.5,6.797
745,"['爆炒猪肝', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.015,0.583,0.35,0.85,0.5,6.797
732,"['凉拌菠菜', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",芹菜炒腰花,0.015,0.519,0.35,0.85,0.5,6.797
662,"['凉拌菠菜', '自制猪肉脯', '芝士烩波士顿龙虾']",芹菜炒腰花,0.015,0.737,0.35,0.85,0.5,6.797
645,"['凉拌菠菜', '自制猪肉脯', '蒙古烤羊腿', '辣炒鱿鱼']",芹菜炒腰花,0.015,0.7,0.35,0.85,0.5,6.797
728,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '辣炒鱿鱼']",芹菜炒腰花,0.015,1.0,0.35,0.85,0.5,6.797
648,"['凉拌菠菜', '焖猪手', '美妙绝伦之白莲花']",芹菜炒腰花,0.015,0.636,0.35,0.85,0.5,6.797
734,"['姜葱炒花蟹', '焖猪手']",芹菜炒腰花,0.015,0.519,0.35,0.85,0.5,6.797
672,"['爆炒猪肝', '美妙绝伦之白莲花']",芹菜炒腰花,0.015,0.609,0.35,0.85,0.5,6.797
711,"['凉拌菠菜', '辣炒鱿鱼', '香酥两吃大虾']",芹菜炒腰花,0.015,0.5379999999999999,0.35,0.85,0.5,6.797
675,"['焖猪手', '爆炒猪肝', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.015,0.737,0.35,0.85,0.5,6.797
709,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '蒙古烤羊腿']",芹菜炒腰花,0.015,0.8240000000000001,0.35,0.85,0.5,6.797
759,"['凉拌菠菜', '焖猪手', '谷稻小庄', '辣炒鱿鱼']",芹菜炒腰花,0.013999999999999999,0.684,0.35,0.85,0.5,6.795
760,"['凉拌菠菜', '焖猪手', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",芹菜炒腰花,0.013999999999999999,0.65,0.35,0.85,0.5,6.795
908,"['凉拌菠菜', '爆炒猪肝', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.013999999999999999,0.765,0.35,0.85,0.5,6.795
797,"['凉拌菠菜', '孜然羊排', '自制猪肉脯']",芹菜炒腰花,0.013999999999999999,0.722,0.35,0.85,0.5,6.795
850,"['焖猪手', '芝士烩波士顿龙虾', '谷稻小庄']",芹菜炒腰花,0.013999999999999999,0.565,0.35,0.85,0.5,6.795
764,"['凉拌菠菜', '剁椒鱼头', '香酥两吃大虾']",芹菜炒腰花,0.013999999999999999,0.65,0.35,0.85,0.5,6.795
900,"['凉拌菠菜', '焖猪手', '美妙绝伦之白莲花', '自制猪肉脯']",芹菜炒腰花,0.013999999999999999,0.929,0.35,0.85,0.5,6.795
915,"['焖猪手', '自制猪肉脯', '麻辣小龙虾']",芹菜炒腰花,0.013999999999999999,0.867,0.35,0.85,0.5,6.795
861,"['炝炒大白菜', '焖猪手', '自制猪肉脯']",芹菜炒腰花,0.013999999999999999,0.765,0.35,0.85,0.5,6.795
888,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '谷稻小庄', '辣炒鱿鱼']",芹菜炒腰花,0.013999999999999999,0.867,0.35,0.85,0.5,6.795
878,"['自制猪肉脯', '芝士烩波士顿龙虾', '谷稻小庄']",芹菜炒腰花,0.013999999999999999,0.619,0.35,0.85,0.5,6.795
905,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '爆炒猪肝']",芹菜炒腰花,0.013999999999999999,0.867,0.35,0.85,0.5,6.795
869,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.013999999999999999,0.812,0.35,0.85,0.5,6.795
834,"['爆炒猪肝', '自制猪肉脯', '芝士烩波士顿龙虾']",芹菜炒腰花,0.013999999999999999,0.929,0.35,0.85,0.5,6.795
803,"['凉拌菠菜', '剁椒鱼头', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.013999999999999999,0.722,0.35,0.85,0.5,6.795
841,"['爆炒猪肝', '美妙绝伦之白莲花', '自制猪肉脯']",芹菜炒腰花,0.013999999999999999,0.929,0.35,0.85,0.5,6.795
800,"['剁椒鱼头', '焖猪手', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.013999999999999999,0.722,0.35,0.85,0.5,6.795
1074,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '芝士烩波士顿龙虾']",芹菜炒腰花,0.013000000000000001,0.857,0.35,0.85,0.5,6.794
1079,"['剁椒鱼头', '自制猪肉脯', '谷稻小庄']",芹菜炒腰花,0.013000000000000001,0.8,0.35,0.85,0.5,6.794
1014,"['焖猪手', '爆炒猪肝', '香酥两吃大虾']",芹菜炒腰花,0.013000000000000001,0.632,0.35,0.85,0.5,6.794
1165,"['美妙绝伦之白莲花', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.013000000000000001,0.857,0.35,0.85,0.5,6.794
941,"['水煮鱼', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.013000000000000001,0.522,0.35,0.85,0.5,6.794
1001,"['焖猪手', '香烤牛排']",芹菜炒腰花,0.013000000000000001,0.6,0.35,0.85,0.5,6.794
1002,"['凉拌菠菜', '姜葱炒花蟹', '焖猪手']",芹菜炒腰花,0.013000000000000001,0.6,0.35,0.85,0.5,6.794
1060,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.013000000000000001,1.0,0.35,0.85,0.5,6.794
1063,"['焖猪手', '爆炒猪肝', '自制猪肉脯', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.013000000000000001,1.0,0.35,0.85,0.5,6.794
1058,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.013000000000000001,1.0,0.35,0.85,0.5,6.794
1101,"['凉拌菠菜', '爆炒猪肝', '美妙绝伦之白莲花']",芹菜炒腰花,0.013000000000000001,0.75,0.35,0.85,0.5,6.794
988,"['焖猪手', '爆炒猪肝', '芝士烩波士顿龙虾']",芹菜炒腰花,0.013000000000000001,0.632,0.35,0.85,0.5,6.794
995,"['凉拌菠菜', '剁椒鱼头', '美妙绝伦之白莲花']",芹菜炒腰花,0.013000000000000001,0.5710000000000001,0.35,0.85,0.5,6.794
1156,"['凉拌菠菜', '爆炒猪肝', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.013000000000000001,0.706,0.35,0.85,0.5,6.794
1003,"['焖猪手', '美妙绝伦之白莲花', '芝士烩波士顿龙虾']",芹菜炒腰花,0.013000000000000001,0.632,0.35,0.85,0.5,6.794
1153,"['白胡椒胡萝卜羊肉汤', '自制猪肉脯']",芹菜炒腰花,0.013000000000000001,0.706,0.35,0.85,0.5,6.794
1069,"['爆炒猪肝', '自制猪肉脯', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.013000000000000001,1.0,0.35,0.85,0.5,6.794
1123,"['爆炒猪肝', '谷稻小庄', '辣炒鱿鱼']",芹菜炒腰花,0.013000000000000001,0.857,0.35,0.85,0.5,6.794
1129,"['焖猪手', '爆炒猪肝', '自制猪肉脯', '芝士烩波士顿龙虾']",芹菜炒腰花,0.013000000000000001,0.9229999999999999,0.35,0.85,0.5,6.794
1148,"['剁椒鱼头', '爆炒猪肝', '辣炒鱿鱼']",芹菜炒腰花,0.013000000000000001,0.706,0.35,0.85,0.5,6.794
1108,"['凉拌菠菜', '剁椒鱼头', '爆炒猪肝', '自制猪肉脯']",芹菜炒腰花,0.013000000000000001,0.75,0.35,0.85,0.5,6.794
1061,"['剁椒鱼头', '焖猪手', '爆炒猪肝', '辣炒鱿鱼']",芹菜炒腰花,0.013000000000000001,1.0,0.35,0.85,0.5,6.794
1066,"['凉拌菠菜', '爆炒猪肝', '自制猪肉脯', '谷稻小庄']",芹菜炒腰花,0.013000000000000001,1.0,0.35,0.85,0.5,6.794
1099,"['焖猪手', '自制猪肉脯', '芝士烩波士顿龙虾', '谷稻小庄']",芹菜炒腰花,0.013000000000000001,0.75,0.35,0.85,0.5,6.794
1094,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.013000000000000001,0.857,0.35,0.85,0.5,6.794
993,"['凉拌菠菜', '自制猪肉脯', '香酥两吃大虾']",芹菜炒腰花,0.013000000000000001,0.5710000000000001,0.35,0.85,0.5,6.794
1287,"['白胡椒胡萝卜羊肉汤', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.012,1.0,0.35,0.85,0.5,6.792
1204,"['剁椒鱼头', '焖猪手', '香酥两吃大虾']",芹菜炒腰花,0.012,0.7859999999999999,0.35,0.85,0.5,6.792
1207,"['清蒸海鱼', '爆炒猪肝', '自制猪肉脯']",芹菜炒腰花,0.012,0.7859999999999999,0.35,0.85,0.5,6.792
1407,"['清蒸海鱼', '自制猪肉脯', '谷稻小庄']",芹菜炒腰花,0.012,0.647,0.35,0.85,0.5,6.792
1266,"['剁椒鱼头', '辣炒鱿鱼', '香酥两吃大虾']",芹菜炒腰花,0.012,0.611,0.35,0.85,0.5,6.792
1492,"['焖猪手', '豌豆薯仔猪骨汤', '香酥两吃大虾']",芹菜炒腰花,0.012,0.688,0.35,0.85,0.5,6.792
1410,"['剁椒鱼头', '焖猪手', '谷稻小庄']",芹菜炒腰花,0.012,0.647,0.35,0.85,0.5,6.792
1293,"['爆炒猪肝', '自制猪肉脯', '芝士烩波士顿龙虾', '谷稻小庄']",芹菜炒腰花,0.012,1.0,0.35,0.85,0.5,6.792
1484,"['剁椒鱼头', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",芹菜炒腰花,0.012,0.733,0.35,0.85,0.5,6.792
1333,"['剁椒鱼头', '焖猪手', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",芹菜炒腰花,0.012,0.846,0.35,0.85,0.5,6.792
