,counts,dishes_name,sales_hot
82,320,白饭/大碗,1.0
20,268,凉拌菠菜,0.84
113,238,谷稻小庄,0.74
140,213,麻辣小龙虾,0.66
83,186,白饭/小碗,0.58
98,185,芝士烩波士顿龙虾,0.58
120,188,辣炒鱿鱼,0.58
11,182,五色糯米饭(七色),0.57
136,176,香酥两吃大虾,0.55
63,173,焖猪手,0.54
53,161,水煮鱼,0.5
106,151,蒙古烤羊腿,0.47
97,134,自制猪肉脯,0.42
112,134,西瓜胡萝卜沙拉,0.42
94,133,美妙绝伦之白莲花,0.41
23,129,剁椒鱼头,0.4
36,129,孜然羊排,0.4
66,121,爆炒猪肝,0.37
131,115,香烤牛排,0.36
22,118,凉拌蒜蓉西兰花,0.36
101,112,芹菜炒腰花,0.35
60,113,清蒸海鱼,0.35
45,111,意文柠檬汁,0.34
111,109,蛋挞,0.34
76,110,番茄炖牛腩,0.34
54,106,油焖麻辣虾,0.33
62,106,炝炒大白菜,0.33
35,104,姜葱炒花蟹,0.32
81,105,白胡椒胡萝卜羊肉汤,0.32
89,99,糖醋蕃茄溜青花,0.31
133,100,香菇鹌鹑蛋,0.31
109,101,蒜香辣花甲,0.31
65,97,爆炒双丝,0.3
114,97,豌豆薯仔猪骨汤,0.3
52,93,桂圆肉红豆八宝饭,0.29
75,94,番茄有机花菜,0.29
17,91,冰糖红豆薏米粥,0.28
73,89,独家薄荷鲜虾牛肉卷,0.27
135,85,香辣腐乳炒虾,0.26
47,84,拌土豆丝,0.26
34,82,大蒜苋菜,0.25
78,80,番茄甘蓝,0.25
61,79,清蒸蝶鱼,0.24
59,76,清爽拌凉面,0.23
125,75,金玉良缘,0.23
39,72,小米南瓜粥,0.22
123,72,酸辣藕丁,0.22
87,72,皮蛋瘦肉粥,0.22
31,73,培根紫菜卷,0.22
21,69,凉拌萝卜丝,0.21
80,70,白斩鸡,0.21
40,69,山药养生粥,0.21
13,68,倒立蒸梭子蟹,0.21
29,66,啤酒鸭,0.2
92,65,红酒炖羊肉,0.2
105,65,葱油凉拌藕片,0.2
134,67,香辣爆羊肝,0.2
77,63,番茄炖秋葵,0.19
68,63,爆炒鸡翅,0.19
64,63,照烧鸡腿,0.19
24,63,北冰洋汽水,0.19
32,64,培根花菜,0.19
41,63,干锅田鸡,0.19
15,63,农夫山泉NFC果汁100%橙汁,0.19
143,62,黄花菜炒木耳,0.19
96,60,肉丁茄子,0.18
88,59,盘蟹蒸蛋,0.18
58,58,清炒菊花菜,0.18
51,59,桂圆枸杞鸽子汤,0.18
25,58,南瓜枸杞小饼干,0.18
99,56,芝麻烤紫菜,0.17
121,55,避风塘炒蟹,0.17
48,56,木须豌豆,0.17
86,57,百里香奶油烤红酒牛肉,0.17
144,57,黑米恋上葡萄,0.17
104,52,葱姜炒蟹,0.16
70,50,牛尾汤,0.15
141,51,黄尾袋鼠西拉子红葡萄酒,0.15
12,50,五香酱驴肉,0.15
118,49,辣炒田螺,0.15
90,50,紫薯面包卷,0.15
91,48,红酒土豆烧鸭腿,0.14
107,46,蒜蓉生蚝,0.14
43,45,张裕葡萄酒张裕赤霞珠干红,0.14
132,46,香菇鸡肉粥,0.14
5,47,一品香酥藕,0.14
116,46,路易拉菲红酒干红,0.14
128,47,露露无糖杏仁露,0.14
103,43,葡萄奶酥(超酥香的饼干),0.13
108,43,蒜香包,0.13
26,42,南瓜芝士包,0.13
56,43,泡椒凤爪,0.13
79,42,番茄蛋汤,0.13
46,44,打卤面,0.13
130,41,青炒扁豆,0.12
14,41,党参黄芪炖牛尾,0.12
9,41,五彩藕苗,0.12
100,39,花蛤蒸蛋,0.12
137,39,鱼香肉丝拌面,0.12
33,39,大理石奶油蛋糕,0.12
49,37,杭椒鸡珍,0.11
117,38,辣炒海带丝,0.11
93,38,纸杯蛋糕,0.11
55,35,法国波尔多AOC干红葡萄酒原,0.1
95,33,老式面包,0.1
4,35,53度茅台,0.1
8,35,不加一滴油的酸奶蛋糕,0.1
119,34,辣炒花蛤,0.1
129,32,青岛啤酒罐装,0.09
50,32,核桃葡萄干土司,0.09
38,32,小炒羊腰,0.09
115,27,超人气广式肠粉,0.08
10,29,五彩豆,0.08
71,26,牛肉鸡蛋肠粉,0.08
57,26,海带结豆腐汤,0.08
122,27,酸辣汤面,0.08
28,29,哈尔滨啤酒罐装,0.08
110,27,蓝带啤酒罐装,0.08
124,29,重庆特色油烧兔,0.08
0,24,38度剑南春,0.07
142,25,黄油曲奇饼干,0.07
74,23,玉竹南北杏鸭腿汤,0.07
138,21,鲜美鳝鱼,0.06
67,22,爆炒鳝碌,0.06
3,22,52度泸州老窖,0.06
7,22,三色凉拌手撕兔,0.06
2,20,50度古井贡酒,0.06
16,20,冬瓜炒苦瓜,0.06
42,20,广式虾仁肠粉,0.06
84,21,百威啤酒罐装,0.06
1,17,42度海之蓝,0.05
19,18,凉拌海带豆芽紫菜,0.05
18,17,冰镇花螺,0.05
30,19,土豆西红柿汤面,0.05
27,19,咖啡奶香面包,0.05
37,17,宝宝版牛肉肠粉,0.05
44,18,快炒黄鳝,0.05
102,18,芹黄鳝丝,0.05
69,17,牛奶卷,0.05
127,16,长城窖酿解百纳红酒干红葡萄酒,0.04
6,10,三丝鳝鱼,0.03
72,13,特醇嘉士伯啤酒罐装,0.03
139,12,鸡蛋、肉末肠粉,0.03
85,5,百里香奶油烤紅酒牛肉,0.01
126,2,铁板牛肉,0.0
