,rule,support,confidence
课程180---课程191,课程180---课程191,0.1393505560646967,0.9040655632331672
课程26---课程31,课程26---课程31,0.1105194065340698,0.9461407972858354
课程26---课程17,课程26---课程17,0.10928095509375077,0.9355385920271415
课程17---课程26---课程31,课程17---课程26---课程31,0.10819111782627003,0.9900271985494107
课程26---课程31---课程17,课程26---课程31---课程17,0.10819111782627003,0.9789332138054684
课程130---课程17,课程130---课程17,0.10628390260817873,0.9812485707752114
课程48---课程171,课程48---课程171,0.10249424120080251,0.9154867256637168
课程133---课程17,课程133---课程17,0.10194932256706214,0.9630322882545624
课程130---课程31,课程130---课程31,0.10182547742303025,0.9400868968671393
课程130---课程31---课程17,课程130---课程31---课程17,0.10167686325019196,0.9985405010946241
课程130---课程17---课程31,课程130---课程17---课程31,0.10167686325019196,0.9566534607317642
课程130---课程133,课程130---课程133,0.10043841180987294,0.9272810427624056
课程133---课程130,课程133---课程130,0.10043841180987294,0.9487599438465139
课程130---课程17---课程133,课程130---课程17---课程133,0.09927426745597305,0.9340480074574692
课程130---课程133---课程17,课程130---课程133---课程17,0.09927426745597305,0.9884093711467324
课程133---课程17---课程130,课程133---课程17---课程130,0.09927426745597305,0.9737609329446064
课程144---课程163,课程144---课程163,0.09835781339013697,0.9972375690607734
课程163---课程144,课程163---课程144,0.09835781339013697,0.9763953774280796
课程133---课程26,课程133---课程26,0.09739182126668813,0.9199812821712681
课程26---课程133,课程26---课程133,0.09739182126668813,0.833757421543681
课程133---课程31,课程133---课程31,0.09709459292101157,0.917173607861488
课程133---课程31---课程17,课程133---课程31---课程17,0.096797364575335,0.996938775510204
课程133---课程17---课程31,课程133---课程17---课程31,0.096797364575335,0.9494655004859086
课程141---课程34,课程141---课程34,0.09659921234488396,0.8805599458116956
课程17---课程26---课程133,课程17---课程26---课程133,0.09607906273994997,0.879193109700816
课程133---课程17---课程26,课程133---课程17---课程26,0.09607906273994997,0.9424198250728864
课程133---课程26---课程17,课程133---课程26---课程17,0.09607906273994997,0.9865208545269584
课程130---课程26,课程130---课程26,0.09555891313501598,0.8822318774296821
课程26---课程130,课程26---课程130,0.09555891313501598,0.8180661577608143
课程133---课程31---课程26,课程133---课程31---课程26,0.09543506799098407,0.9829081632653061
课程26---课程31---课程133,课程26---课程31---课程133,0.09543506799098407,0.8635141192290452
课程133---课程26---课程31,课程133---课程26---课程31,0.09543506799098407,0.9799084435401831
课程130---课程26---课程17,课程130---课程26---课程17,0.09531122284695218,0.9974079834110938
课程130---课程17---课程26,课程130---课程17---课程26,0.09531122284695218,0.8967606618503846
课程17---课程26---课程130,课程17---课程26---课程130,0.09531122284695218,0.872166817769719
课程135---课程26,课程135---课程26,0.09523691576053303,0.9598102845731403
课程26---课程135,课程26---课程135,0.09523691576053303,0.8153095843935538
课程130---课程26---课程31,课程130---课程26---课程31,0.0951378396453075,0.9955935717988594
课程130---课程31---课程26,课程130---课程31---课程26,0.0951378396453075,0.934322549258088
课程26---课程31---课程130,课程26---课程31---课程130,0.0951378396453075,0.8608247422680412
课程135---课程31,课程135---课程31,0.09506353255888837,0.9580629056415378
课程130---课程31---课程133,课程130---课程31---课程133,0.09493968741485646,0.932376550717587
课程133---课程31---课程130,课程133---课程31---课程130,0.09493968741485646,0.9778061224489796
课程130---课程133---课程31,课程130---课程133---课程31,0.09493968741485646,0.945252774352651
课程133---课程26---课程130,课程133---课程26---课程130,0.09466722809798628,0.9720244150559512
课程130---课程133---课程26,课程130---课程133---课程26,0.09466722809798628,0.9425400739827373
课程130---课程26---课程133,课程130---课程26---课程133,0.09466722809798628,0.9906687402799378
课程135---课程133,课程135---课程133,0.09422138557947143,0.9495756365451823
课程133---课程135,课程133---课程135,0.09422138557947143,0.8900327562002808
课程141---课程171,课程141---课程171,0.09394892626260125,0.8564009934522466
课程135---课程17,课程135---课程17,0.0938746191761821,0.9460808786819771
课程135---课程31---课程26,课程135---课程31---课程26,0.09367646694573106,0.9854090672225118
课程135---课程26---课程31,课程135---课程26---课程31,0.09367646694573106,0.9836150845253576
课程26---课程31---课程135,课程26---课程31---课程135,0.09367646694573106,0.8476019722097714
课程29---课程34,课程29---课程34,0.09352785277289277,0.944472236118059
课程133---课程17---课程135,课程133---课程17---课程135,0.09308201025437793,0.9130223517978621
课程135---课程26---课程133,课程135---课程26---课程133,0.09308201025437793,0.9773732119635891
课程135---课程17---课程133,课程135---课程17---课程133,0.09308201025437793,0.99155672823219
课程133---课程135---课程17,课程133---课程135---课程17,0.09308201025437793,0.9879074658254469
课程133---课程135---课程26,课程133---课程135---课程26,0.09308201025437793,0.9879074658254469
课程133---课程26---课程135,课程133---课程26---课程135,0.09308201025437793,0.9557477110885046
课程135---课程26---课程17,课程135---课程26---课程17,0.09305724122557155,0.9771131339401821
课程135---课程17---课程26,课程135---课程17---课程26,0.09305724122557155,0.9912928759894459
课程17---课程26---课程135,课程17---课程26---课程135,0.09305724122557155,0.851541251133273
课程40---课程31,课程40---课程31,0.0929829341391524,0.9352267065271549
课程40---课程17,课程40---课程17,0.09295816511034602,0.9349775784753362
课程135---课程31---课程17,课程135---课程31---课程17,0.09288385802392689,0.9770713913496613
课程135---课程17---课程31,课程135---课程17---课程31,0.09288385802392689,0.9894459102902375
课程17---课程40---课程31,课程17---课程40---课程31,0.09283431996631412,0.9986677324806822
课程31---课程40---课程17,课程31---课程40---课程17,0.09283431996631412,0.998401704848162
课程135---课程130,课程135---课程130,0.09278478190870136,0.9350973539690465
课程130---课程135,课程130---课程135,0.09278478190870136,0.856620169220215
课程133---课程31---课程135,课程133---课程31---课程135,0.09241324647660565,0.9517857142857142
课程133---课程135---课程31,课程133---课程135---课程31,0.09241324647660565,0.9808096740273395
课程135---课程31---课程133,课程135---课程31---课程133,0.09241324647660565,0.9721208963001562
课程130---课程133---课程135,课程130---课程133---课程135,0.09226463230376737,0.9186189889025894
课程130---课程135---课程133,课程130---课程135---课程133,0.09226463230376737,0.9943940202883076
课程133---课程135---课程130,课程133---课程135---课程130,0.09226463230376737,0.9792323869610936
课程135---课程17---课程130,课程135---课程17---课程130,0.09191786590047804,0.9791556728232189
课程130---课程17---课程135,课程130---课程17---课程135,0.09191786590047804,0.8648333721743183
课程130---课程135---课程17,课程130---课程135---课程17,0.09191786590047804,0.9906567004805125
课程130---课程31---课程135,课程130---课程31---课程135,0.09159586852599509,0.899537825346631
