³µÁ¾±àÂë,mileage,avg_speed,sd_speed,sd_speed_diff,speed_plus,speed_minus,tired,slip,dscs,plus_rate,minus_rate,tired_rate,slip_rate,dscs_rate,labels
AA00001,6513,62.79877312509365,27.034993038305416,1.5652977966869013,10,11,15,71,301,0.0015353907569476432,0.0016889298326424073,0.002303086135421465,0.010901274374328269,0.046215261784124065,0
AA00002,749,61.28409008617568,29.13840754418301,1.5535319621034274,1,4,5,11,128,0.0013351134846461947,0.0053404539385847796,0.006675567423230975,0.014686248331108143,0.17089452603471295,0
AA00004,597,52.88528959507945,24.535798257044412,2.051688886625744,6,5,5,14,114,0.010050251256281407,0.008375209380234505,0.008375209380234505,0.02345058626465661,0.19095477386934676,0
AA00036,304,49.51700372270852,27.07788730162439,0.9984271643645456,6,4,4,4,80,0.01973684210526316,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.2631578947368421,0
AA00045,222,49.33039433490697,22.2199543514423,2.1096880954752963,1,3,2,3,53,0.0045045045045045045,0.013513513513513514,0.009009009009009007,0.013513513513513514,0.23873873873873874,0
AA00051,1317,55.81888885903877,25.050657935468635,3.2128101287842505,14,21,9,42,279,0.010630220197418374,0.015945330296127564,0.006833712984054671,0.03189066059225513,0.2118451025056948,0
AA00052,987,60.188976011540525,24.05948789057621,1.7451328551121634,2,1,7,1,116,0.0020263424518743673,0.0010131712259371837,0.007092198581560284,0.0010131712259371837,0.11752786220871328,0
AA00055,681,45.2764762593396,20.11395802229849,1.468236718747907,2,1,5,13,138,0.002936857562408223,0.0014684287812041115,0.007342143906020558,0.01908957415565345,0.2026431718061674,0
AA00060,779,50.527306843267105,22.71151997436573,1.4622390168484376,2,4,7,28,174,0.002567394094993581,0.0051347881899871635,0.008985879332477536,0.035943517329910135,0.2233632862644416,0
AA00061,718,45.95459715639811,20.436876928283567,1.298747765298012,3,3,6,8,169,0.004178272980501393,0.004178272980501393,0.008356545961002786,0.011142061281337049,0.2353760445682451,0
AA00069,1332,58.271012482662975,22.16267834714872,2.528760819019701,7,7,7,29,171,0.0052552552552552565,0.0052552552552552565,0.0052552552552552565,0.02177177177177177,0.12837837837837834,0
AA00118,1323,66.68210078795529,26.41634730738678,2.4962519807226333,20,18,7,20,161,0.015117157974300832,0.013605442176870748,0.005291005291005291,0.015117157974300832,0.12169312169312167,0
AA00125,534,71.83391498128915,14.77846891925447,2.46671158901882,14,18,2,4,41,0.02621722846441948,0.033707865168539325,0.003745318352059925,0.00749063670411985,0.07677902621722846,1
AA00128,1323,78.12245528511106,21.99634136247289,2.051550909012099,7,4,4,12,82,0.005291005291005291,0.0030234315948601664,0.0030234315948601664,0.0090702947845805,0.06198034769463341,0
AA00143,905,49.77436842675919,26.66058677533903,2.2866016736653667,8,5,5,14,83,0.008839779005524863,0.0055248618784530384,0.0055248618784530384,0.015469613259668509,0.09171270718232044,0
AA00146,973,56.975782807552484,26.601392516006808,2.657670834983848,13,10,5,20,163,0.013360739979445016,0.01027749229188078,0.00513874614594039,0.02055498458376156,0.16752312435765673,0
AA00148,1100,61.3764127354559,27.368124209941282,2.483266254885706,13,15,9,24,177,0.011818181818181818,0.013636363636363636,0.00818181818181818,0.02181818181818182,0.16090909090909092,0
AA00154,1472,67.85825360765368,26.806738412458376,1.8913515279815185,3,3,10,40,166,0.002038043478260869,0.002038043478260869,0.006793478260869565,0.02717391304347826,0.11277173913043477,0
AA00160,806,57.67298636419475,26.401883952357373,1.4508676737741182,4,10,7,7,141,0.0049627791563275426,0.01240694789081886,0.008684863523573201,0.008684863523573201,0.17493796526054592,0
AA00164,995,58.47774966000447,27.50691492641843,2.2905369194979825,17,15,11,50,198,0.01708542713567839,0.01507537688442211,0.011055276381909548,0.05025125628140704,0.19899497487437187,0
AA00173,1532,66.12941346964587,23.41605772147469,1.7816927386593158,5,5,8,2,135,0.0032637075718015664,0.0032637075718015664,0.0052219321148825075,0.0013054830287206266,0.0881201044386423,0
AA00188,633,62.94804102365008,22.30626512243285,2.6619674183027326,3,4,9,0,87,0.0047393364928909965,0.00631911532385466,0.014218009478672985,0.0,0.13744075829383887,0
AA00195,4663,68.2518829297882,28.188370514955945,2.0892522719645825,7,3,3,9,56,0.0015011794981771394,0.0006433626420759168,0.0006433626420759168,0.0019300879262277503,0.012009435985417113,0
AA00202,2848,34.994895789025946,18.34481479123496,1.6957420785739874,2,1,6,11,46,0.0007022471910112358,0.000351123595505618,0.002106741573033708,0.0038623595505617976,0.016151685393258428,1
AA00203,469,40.68964851293936,20.776826101776287,1.9856154451689163,2,15,6,4,97,0.004264392324093817,0.031982942430703626,0.01279317697228145,0.008528784648187633,0.2068230277185501,0
AA00211,2629,50.25578585370388,21.437100637963468,2.245346210940043,14,15,7,14,129,0.005325218714340053,0.005705591479650057,0.0026626093571700264,0.005325218714340053,0.04906808672499049,0
AA00212,2875,66.32382357353603,28.576782952270857,2.6068238046408565,6,5,5,29,137,0.0020869565217391303,0.0017391304347826088,0.0017391304347826088,0.01008695652173913,0.04765217391304348,0
AA00219,2385,52.15018242122721,23.644836572482497,2.267923984785619,5,12,7,19,155,0.0020964360587002093,0.005031446540880503,0.0029350104821802936,0.007966457023060796,0.0649895178197065,0
AA00228,3036,48.015222118670394,24.91418794867753,2.8460559703431016,4,4,0,1,38,0.0013175230566534915,0.0013175230566534915,0.0,0.0003293807641633729,0.012516469038208168,0
AA00232,379,43.14341932662877,18.670137034758888,2.052389285196975,7,7,2,1,106,0.018469656992084436,0.018469656992084436,0.0052770448548812654,0.0026385224274406327,0.2796833773087071,2
AA00235,2193,53.09969512989551,22.27906152636553,1.5938953303984689,5,3,7,0,82,0.0022799817601459192,0.001367989056087551,0.0031919744642042863,0.0,0.03739170086639307,0
AA00238,3200,49.21093502377179,24.92382768133668,2.605853295451711,3,4,2,4,38,0.0009375,0.00125,0.000625,0.00125,0.011875,0
AA00239,3937,63.32353723797416,27.716631232309137,2.0443641612701136,2,5,1,1,75,0.0005080010160020321,0.00127000254000508,0.00025400050800101603,0.00025400050800101603,0.0190500381000762,0
AA00251,1995,40.13207302020399,15.082019842181985,1.8502592486313219,0,2,0,11,76,0.0,0.0010025062656641604,0.0,0.005513784461152882,0.0380952380952381,1
AA00262,3118,57.312890220842704,27.18556035229065,1.5489596155515166,1,6,10,8,78,0.0003207184092366901,0.001924310455420141,0.003207184092366902,0.002565747273893521,0.025016035920461838,0
AA00272,3611,62.719338589575116,28.122914902617804,2.3595480762364,1,1,6,5,42,0.00027693159789531985,0.00027693159789531985,0.0016615895873719189,0.0013846579894765993,0.011631127111603436,0
AA00279,2145,73.37641433189657,22.248980235463144,1.9840737512440836,2,0,5,19,59,0.0009324009324009324,0.0,0.002331002331002331,0.008857808857808859,0.0275058275058275,0
AA00281,1367,36.41783588435374,16.295220376170995,1.5775743652750864,8,6,7,2,152,0.005852231163130944,0.0043891733723482075,0.005120702267739576,0.001463057790782736,0.11119239209948792,1
AA00286,4029,49.335995414596866,19.12028433157107,2.4104839176755397,8,13,7,19,191,0.0019856043683296105,0.003226607098535617,0.001737403822288409,0.004715810374782825,0.04740630429386945,1
AA00296,1124,41.242221518486254,19.737511167912906,2.1240180616508635,11,5,6,20,113,0.009786476868327402,0.004448398576512456,0.005338078291814947,0.017793594306049824,0.10053380782918148,1
AA00299,3657,68.11225611023669,27.86963665925385,2.9292233914521786,18,11,5,5,93,0.004922067268252665,0.0030079299972655183,0.0013672409078479626,0.0013672409078479626,0.02543068088597211,0
AA00301,631,32.36148377479647,17.167226646311384,2.5074856111142183,4,10,6,0,112,0.006339144215530904,0.01584786053882726,0.009508716323296357,0.0,0.1774960380348653,2
AA00303,347,35.86429026098027,16.82985334208233,2.1674670739788837,0,0,6,15,103,0.0,0.0,0.01729106628242075,0.04322766570605188,0.2968299711815562,2
AA00306,3137,51.692656088516024,24.564741269539553,3.1159973196990904,7,8,6,9,148,0.0022314313037934334,0.002550207204335352,0.001912655403251514,0.0028689831048772712,0.047178833280204016,0
AA00316,2510,29.768521462639107,11.793499915727232,2.1457161713919013,0,3,1,8,75,0.0,0.001195219123505976,0.0003984063745019921,0.0031872509960159364,0.029880478087649407,1
