                   图书名称  销量  顺序排名
1   Android项目开发实战入门  2355       1.0
0      Android精彩编程200例  1300       2.0
9             零基础学C语言   888       3.0
14           零基础学Python   888       4.0
13             零基础学Java   663       5.0
8     C语言项目开发实战入门   625       6.0
15   Python从入门到项目实践   559       7.0
4        C#项目开发实战入门   541       8.0
19       零基础学HTML5+CSS3   456       9.0
25      PHP项目开发实战入门   354      10.0
10              零基础学C++   333      11.0
20       零基础学Javascript   322      12.0
16   Python项目开发案例集锦   281      13.0
7        C语言精彩编程200例   271      14.0
26              零基础学PHP   248      15.0
11        Java精彩编程200例   241      16.0
17           零基础学Oracle   148      17.0
23  JavaWeb项目开发实战入门   129      18.0
3           C#精彩编程200例   120      19.0
18              SQL即查即用   120      20.0
5                零基础学C#   120      21.0
6       C++项目开发实战入门   120      22.0
12     Java项目开发实战入门   120      23.0
22          零基础学ASP.NET   120      24.0
21  ASP.NET项目开发实战入门   120      25.0
24      JSP项目开发实战入门   120      26.0
2          零基础学Android    110      27.0
